Kolom 1,Kolom 2,Kolom 3,Kolom 4,Kolom 5,Kolom 6
id_wil,,character(8),1,ID Wilayah. Web Service: GetRecordset:wilayah,
jk,,character(1),1,"L: Laki-laki, P: Perempuan, *: Belum ada informasi",
jln,,character varying(80),,Jalan,
kewarganegaraan,,character(2),1,Web Service: GetRecordset:negara,
kode_pos,,character(5),,,
nik,,character(16),,"Nomor Induk Kependudukan, wajib di isi",
nik_ayah,,character(16),,,
nik_ibu,,character(16),,,
nisn,,character(10),,Nomor Induk Siswa Nasional,
nm_ayah,,character varying(100),,,
nm_dsn,,character varying(60),,Nama Dusun,
nm_ibu_kandung,,character varying(100),1,,
nm_pd,,character varying(100),,Nama Mahasiswa,
nm_wali,,character varying(100),,,
no_hp,,character varying(20),,,
no_kps,,character varying(80),,Nomor KPS (KARTU PERLINDUNGAN SOSIAL),
no_tel_rmh,,character varying(20),,,
npwp,,character(15),,Nomor Pokok Wajib Pajak,
rt,,"numeric(2,0)",,,
rw,,"numeric(2,0)",,,
,,,,,
tgl_lahir,,date,1,yyyy-mm-dd,
tgl_lahir_ayah,,date,,yyyy-mm-dd,
tgl_lahir_ibu,,date,,yyyy-mm-dd,
tgl_lahir_wali,,date,,yyyy-mm-dd,
tmpt_lahir,,character varying(32),,,
Terdapat 44 baris,,,,,
Deskripsi Tabel mahasiswa_pt,,,,,
column_name,pk,type,not_null,desc,
a_pernah_paud,,"numeric(1,0)",1,"0: Tidak pernah PAUD, 1: Pernah PAUD",
a_pernah_tk,,"numeric(1,0)",1,"0: Tidak pernah TK, 1: Pernah TK",
a_pindah_mhs_asing,,"numeric(1,0)",,,
bln_akhir_bimbingan,,date,,yyyy-mm-dd,
bln_awal_bimbingan,,date,,yyyy-mm-dd,
id_jalur_masuk,,"numeric(4,0)",,Web Service: GetRecordset:jalur_masuk,
id_jns_daftar,,"numeric(2,0)",1,Web Service: GetRecordset:jenis_pendaftaran,
id_jns_keluar,,character(1),,Web Service: GetRecordset:jenis_keluar,
id_pd,,uuid,1,ID_PD Mahasiswa. Web Service: GetRecordset:mahasiswa,
id_prodi_asal,,uuid,,,
id_pt_asal,,uuid,,,
id_reg_pd,1,uuid,1,"Primary Key, kosongkan ketika mode Tambah",
id_sms,,uuid,1,ID SMS (Satuan Manajemen Sumberdaya). Web Service: GetRecordset:sms,
id_sp,,uuid,1,ID Perguruan Tinggi. Web Service: GetRecordset:satuan_pendidikan,
ipk,,double precision,,Indeks Prestasi Kumulatif,
jalur_skripsi,,"numeric(1,0)",,,
judul_skripsi,,character varying(500),,,
ket,,character varying(128),,Keterangan,
mulai_smt,,character varying(5),1,ID Mulai Semester. Web Service: GetRecordset:semester,
nipd,,character varying(24),,NIM/NRP Mahasiswa,
nm_prodi_asal,,character varying(100),,ID SMS (Satuan Manajemen Sumberdaya). Web Service: GetRecordset:sms,
nm_pt_asal,,character varying(100),,ID Perguruan Tinggi. Web Service: GetRecordset:satuan_pendidikan,
no_peserta_ujian,,character(20),,,
no_seri_ijazah,,character varying(80),,,
sert_prof,,character varying(80),,,
sk_yudisium,,character varying(80),,,
skhun,,character(20),,,
sks_diakui,,"numeric(3,0)",,,
tgl_create,,timestamp without time zone,1,,
tgl_keluar,,date,,yyyy-mm-dd,
tgl_masuk_sp,,date,1,yyyy-mm-dd,
tgl_sk_yudisium,,date,,yyyy-mm-dd,
Terdapat 32 baris,,,,,
Deskripsi Tabel mata_kuliah,,,,,
column_name,pk,type,not_null,desc,
id_mk,1,uuid,1,"Primary Key, kosongkan ketika mode Tambah",
id_sms,,uuid,1,ID SMS (Satuan Manajemen Sumberdaya). Web Service: GetRecordset:sms,
id_jenj_didik,,"numeric(2,0)",1,ID jenjang pendidikan. Web Service: GetRecordset:jenjang_pendidikan,
kode_mk,,character varying(20),1,Kode Matakuliah,
nm_mk,,character varying(200),,Nama Matakuliah,
jns_mk,,character(1),,"A=Wajib, B=Pilihan, C=Wajib Peminatan, D=Pilihan Peminatan, S=Tugas akhir/Skripsi/Tesis/Disertasi",
kel_mk,,character(1),,"A=MPK, B=MKK, C=MKB, D=MPB, E=MBB, F=MKU/MKDU, G=MKDK, H=MKK",
sks_mk,,"numeric(5,2)",,,
sks_tm,,"numeric(5,2)",,,
sks_prak,,"numeric(5,2)",,,
sks_prak_lap,,"numeric(5,2)",,,
sks_sim,,"numeric(5,2)",,,
metode_pelaksanaan_kuliah,,character varying(50),,,
a_sap,,"numeric(1,0)",,,
a_silabus,,"numeric(1,0)",,,
a_bahan_ajar,,"numeric(1,0)",,,
acara_prak,,"numeric(1,0)",,,
a_diktat,,"numeric(1,0)",,,
tgl_mulai_efektif,,date,,yyyy-mm-dd,
tgl_akhir_efektif,,date,,yyyy-mm-dd,
Terdapat 20 baris,,,,,
Deskripsi Tabel mata_kuliah_kurikulum,,,,,
column_name,pk,type,not_null,desc,
id_kurikulum_sp,1,uuid,1,ID Kurikulum SP. Web Service: GetRecordset:kurikulum,
id_mk,1,uuid,1,ID Mata Kuliah. Web Service: GetRecordset:mata_kuliah,
smt,,"numeric(2,0)",1,"semester matakuliah (1,2,3…8)",
sks_mk,,"numeric(5,2)",,,
sks_tm,,"numeric(5,2)",,,
sks_prak,,"numeric(5,2)",,,
sks_prak_lap,,"numeric(5,2)",,,
sks_sim,,"numeric(5,2)",,,
a_wajib,,"numeric(1,0)",1,,
Terdapat 9 baris,,,,,
Deskripsi Tabel nilai,,,,,
column_name,pk,type,not_null,desc,
,,,,,
id_kls,1,uuid,1,ID Kelas Kuliah. Web Service: GetRecordset:kelas_kuliah,
id_reg_pd,1,uuid,1,Web Service: GetRecordset:mahasiswa_pt,
nilai_angka,,"numeric(4,1)",,,
nilai_huruf,,character(3),,,
nilai_indeks,,"numeric(4,2)",,,
